-NqUWliDsTgSd_QNEFWNyA,wpQsmMvdhefqIlxvRt_Jbg,DonDon Izakaya,3.0,314,1,2018-11-15 03:21:35,HbWwwpGfdrKzwJBFe59dSw,1.0,1.0,"",Andy,1
Erw46-4d-QIzmj1ULQE0YA,SGP1jf6k7spXkgwBlhiUVw,Kekou Gelato House,4.5,408,0,2015-07-02 13:44:31,Umxb6cIXRX32DCNKeT1FzQ,5.0,3.98,"2015,2016,2017,2018",David,230
Erw46-4d-QIzmj1ULQE0YA,m8SkL136H8FzkFGvAQCdPA,Wildfire Steakhouse & Wine Bar,4.0,88,0,2016-01-04 03:16:49,kauDGLVa0wTDsE5MVFktHA,4.0,3.98,"2015,2016,2017,2018",David,230
Erw46-4d-QIzmj1ULQE0YA,KxcQs2Lkm3FJiltVWXOz_Q,Hashi Izakaya,3.5,61,1,2016-03-08 03:22:37,GUMLbUCNqEdDyTPi0NdOGA,4.0,3.98,"2015,2016,2017,2018",David,230
Erw46-4d-QIzmj1ULQE0YA,s-S2xzhmyWw7TUDet7WBnQ,Front Street Foods,4.0,52,1,2015-07-16 00:39:55,eQRIlylEGfyGcHo_qcOGAQ,4.0,3.98,"2015,2016,2017,2018",David,230
Erw46-4d-QIzmj1ULQE0YA,0a2O150ytxrDjDzXNfRWkA,Miku,4.0,743,1,2015-12-08 03:01:01,-WYx7KRlr_Dm_FyKBF2i9w,5.0,3.98,"2015,2016,2017,2018",David,230
Erw46-4d-QIzmj1ULQE0YA,wGwib7KvPzs5_6aPCk_Fzw,Butter Avenue Yonge & Lawrence,4.0,147,0,2015-04-21 03:48:03,v4Wa9IC-bMUksMPaBmKzCA,4.0,3.98,"2015,2016,2017,2018",David,230
Erw46-4d-QIzmj1ULQE0YA,3tiEjjBtdfV5_npPNzs0Cg,Dakgogi,3.5,110,1,2015-09-02 21:06:14,6Ujhw_9VF1PVyIV1w3RrWg,4.0,3.98,"2015,2016,2017,2018",David,230
Erw46-4d-QIzmj1ULQE0YA,ASuPC0RuCgfGj7-9j_DNZg,Burgers Park,4.0,75,1,2018-10-07 14:22:24,NUBJkEttqrNx-2V2g_rZ2w,5.0,3.98,"2015,2016,2017,2018",David,230
Erw46-4d-QIzmj1ULQE0YA,oZyaFqZYf0eqKRiP-aY81Q,Pho Vietnam,3.5,133,1,2015-09-22 02:17:00,cVboptpPh9wq6Zm2OI_GVQ,4.0,3.98,"2015,2016,2017,2018",David,230
Erw46-4d-QIzmj1ULQE0YA,cPXasVLtq_1gmuSg65TUfQ,Dragon Pearl Buffet,3.5,337,1,2016-02-09 02:25:08,Rv46EhwM9RFnZpf4P36YHA,4.0,3.98,"2015,2016,2017,2018",David,230
Erw46-4d-QIzmj1ULQE0YA,8I2XBrjf4rOEWx7pnKpVeg,Kub Khao Thai Eatery,4.0,306,1,2016-05-30 01:20:35,c4_d2TpO5jkZyqwG8wySvQ,4.0,3.98,"2015,2016,2017,2018",David,230
Erw46-4d-QIzmj1ULQE0YA,a911y0BuV1rjHXkXlFm3Ig,EAT BKK Thai Kitchen,3.5,262,1,2016-11-15 01:53:11,eF-s4iA-XJSRrHlj-VJ8pg,3.0,3.98,"2015,2016,2017,2018",David,230
Erw46-4d-QIzmj1ULQE0YA,MdjIl105vqCYUGKFSUVytA,Colette Grand Cafe,3.5,202,0,2016-04-27 21:56:35,XnZNW8kVYk00-U5vHoLhlA,4.0,3.98,"2015,2016,2017,2018",David,230
Erw46-4d-QIzmj1ULQE0YA,TR0-w6VoZDAdvFQiq7P2Ug,Millie Creperie,4.0,361,1,2015-05-20 23:17:46,BuI5rLlYUcNu9TxNEnJ2dA,3.0,3.98,"2015,2016,2017,2018",David,230
Erw46-4d-QIzmj1ULQE0YA,HwgCbqHWaM4uWGp_A1G1nQ,Lime Asian Kitchen,4.0,60,1,2016-11-07 01:59:22,z82Gp9JsGpUxYXIMzmFxmw,4.0,3.98,"2015,2016,2017,2018",David,230
Erw46-4d-QIzmj1ULQE0YA,cB7FhpOwFCn380G6WGpJzw,Golden Thai Restaurant,3.5,205,1,2015-07-06 03:06:02,qXWUFSL3fN72DBGA_2DxSg,4.0,3.98,"2015,2016,2017,2018",David,230
Erw46-4d-QIzmj1ULQE0YA,37-tFLj-xgG6_9oBIO4FJw,Momo San,3.5,110,0,2017-11-11 20:47:10,DUknzFnpsB5O0885prsqUA,4.0,3.98,"2015,2016,2017,2018",David,230
Erw46-4d-QIzmj1ULQE0YA,5aeOewSy4RiI8sLLWpeNGA,Pablo Cheesetart Canada,3.0,344,1,2017-09-18 00:56:21,_7bYb7eTzAEKqibGeQNZkA,4.0,3.98,"2015,2016,2017,2018",David,230
Erw46-4d-QIzmj1ULQE0YA,64kpo_0UjVcy0x1o4CgyXQ,Steak & Cheese Factory,2.0,25,1,2015-10-01 02:27:01,VBXpypq791mZ4ijmazh5ZA,1.0,3.98,"2015,2016,2017,2018",David,230
Erw46-4d-QIzmj1ULQE0YA,sizDIacOnwzgDjKuhyNZqw,HCafe Japanese Cafe,3.5,51,1,2017-08-09 20:36:54,-nGNi3PiDJkTcM881nw9-A,4.0,3.98,"2015,2016,2017,2018",David,230
Erw46-4d-QIzmj1ULQE0YA,kFlc2Sat1kZx4rN6g0hfgQ,TORA,3.5,112,1,2019-05-06 00:09:43,sWlBJ6_njMfaD8pBOihP8w,5.0,3.98,"2015,2016,2017,2018",David,230
Erw46-4d-QIzmj1ULQE0YA,5m2JukTajxMk-qS5W4s-FA,Charidise,3.5,188,1,2017-11-11 20:39:09,UJzXC6E9iHroj0jlt-oMEQ,4.0,3.98,"2015,2016,2017,2018",David,230
Erw46-4d-QIzmj1ULQE0YA,jTZYireK6pnPb6Rni0jygw,Wow Sushi,4.0,409,1,2015-11-20 03:18:58,cZ1VKzKSEEj9wA1vXOj8Ug,3.0,3.98,"2015,2016,2017,2018",David,230
Erw46-4d-QIzmj1ULQE0YA,PQ6pDjHP0P28D3CY5UNxDA,Forget Me Not Cafe,4.0,105,1,2015-04-21 03:41:25,VhKL1o8F-NsYAizLnpoadA,4.0,3.98,"2015,2016,2017,2018",David,230
Erw46-4d-QIzmj1ULQE0YA,-J6FVdY9pSgAdFmmalO-pQ,Jatujak,4.0,336,1,2015-10-20 02:14:28,MvqX6-OhjfNyFeereFmnRA,5.0,3.98,"2015,2016,2017,2018",David,230
Erw46-4d-QIzmj1ULQE0YA,pSMK_FtULKiU-iuh7SMKwg,Blaze Fast-Fire'd Pizza,4.5,506,1,2018-04-11 19:10:00,EB4WDw8AKoSNPxYAaEm1YQ,5.0,3.98,"2015,2016,2017,2018",David,230
Erw46-4d-QIzmj1ULQE0YA,ga0c1iyhg8eyr-wOgc4kXQ,Gyu Hito Japanese BBQ Restaurant,4.0,39,1,2019-12-08 15:23:48,WWcRUEzgmmOKwnmmfFXbHQ,5.0,3.98,"2015,2016,2017,2018",David,230
Erw46-4d-QIzmj1ULQE0YA,RwRNR4z3kY-4OsFqigY5sw,Uncle Tetsu's Japanese Cheesecake,3.5,1009,1,2015-11-09 23:34:39,-Y7gqcPUEkdJDYhdHLy_kg,5.0,3.98,"2015,2016,2017,2018",David,230
Erw46-4d-QIzmj1ULQE0YA,cFyXbPxTAwKRlIqe-XLMcw,STACK,4.0,277,1,2016-04-04 01:47:38,6usAtI8kxXveagE5vIyIUw,5.0,3.98,"2015,2016,2017,2018",David,230
Erw46-4d-QIzmj1ULQE0YA,3dbAuGqDZYjwJ2Bv6I-e_w,Pho Nam Dinh,3.5,59,1,2017-08-14 21:34:20,ncOG9ybrZDFQUCpyScmxVA,4.0,3.98,"2015,2016,2017,2018",David,230
Erw46-4d-QIzmj1ULQE0YA,nTMZSvPMSIofI5RLARFIaA,TORCH Pressed Sushi,4.0,148,1,2018-04-02 23:28:43,Kuf1qEDr0baJIDkYeM4YLg,4.0,3.98,"2015,2016,2017,2018",David,230
Erw46-4d-QIzmj1ULQE0YA,ErnZ6XLbX3aG9jz3OcyzLg,STAY Cafeteria,3.5,129,0,2015-05-25 02:26:00,n_FyfXih0PfvQ-qWpeM94g,5.0,3.98,"2015,2016,2017,2018",David,230
Erw46-4d-QIzmj1ULQE0YA,lFxhaA5tyFxKGtLp7yEjNA,Jack Astor's Bar & Grill,3.0,59,0,2015-08-17 21:58:39,2Z1yij8uWohQdgyS3hcW0g,4.0,3.98,"2015,2016,2017,2018",David,230
Erw46-4d-QIzmj1ULQE0YA,MhiBpIBNTCAm1Xd3WzRzjQ,Messini Authentic Gyros,3.5,483,1,2015-04-21 03:38:32,6YomX9ZVkVPaRhY955bAeQ,4.0,3.98,"2015,2016,2017,2018",David,230
Erw46-4d-QIzmj1ULQE0YA,NECnXyZ8SCjQICOBhG7wTg,The Original Gyro Grill,4.0,114,0,2015-05-04 15:17:11,5XP18pQwX2FnohmakI74yA,5.0,3.98,"2015,2016,2017,2018",David,230
Erw46-4d-QIzmj1ULQE0YA,bLtC8xJXkd1b6MT0KjnSvw,The Captain's Boil,3.5,216,1,2016-05-03 22:13:21,S1CVjgXOsF2M5SP_w1cUGw,4.0,3.98,"2015,2016,2017,2018",David,230
Erw46-4d-QIzmj1ULQE0YA,BrGs6OGqqtKqaLuxoMySBg,Hanabusa Cafe,4.0,258,1,2018-11-30 14:44:21,xjAU-46bqbfaZYeekJD9KA,4.0,3.98,"2015,2016,2017,2018",David,230
Ev22s6cwrXEphxbH0DYAMQ,VBMJjX1rPuwVvzTApRJZAA,Hot Pot Restaurant,4.5,19,1,2016-11-12 16:47:49,KQUS1_1GKrz1tEYJsi8Uqw,5.0,4.0,"",Bobby,13
Ev22s6cwrXEphxbH0DYAMQ,1Epby_tsFDci4sP0Nbjwsw,Pho Vietnam,3.0,97,1,2016-11-11 05:23:45,JhSHaimTQHTIAHDh3m9STg,3.0,4.0,"",Bobby,13
Ev22s6cwrXEphxbH0DYAMQ,foqrLKD71UHqvJbnhFHiKg,Bavu Villas,4.5,22,1,2016-11-12 16:03:10,bJSAf1ObbJFcByY6tEigpQ,5.0,4.0,"",Bobby,13
EzSgiDMrZzg-9m8n4Qo1sA,NDuUMJfrWk52RA-H-OtrpA,Bolt Fresh Bar,3.0,59,1,2014-05-08 21:22:03,6HHLBe62QlP96gzj7z_tGA,5.0,4.29,"",Malak,7
EzSgiDMrZzg-9m8n4Qo1sA,V0eTUwFEIK7aAV_U_OnLEg,CocoaLatte,4.0,65,1,2015-07-19 14:13:26,xS7Sn-TzyVC5Ur0-w91rCw,5.0,4.29,"",Malak,7
EzSgiDMrZzg-9m8n4Qo1sA,WTGmtvIE1v9uEBZxiyXImQ,Maizal,4.0,110,0,2016-05-04 23:54:40,MlBHnaGEe0wTvLYlCBlDpQ,5.0,4.29,"",Malak,7
F4Mei2gVuuyQhhYtCjyowQ,Q55VH2YHdvX4JHUpWCSKrw,Spice Shack,4.0,3,0,2014-03-15 03:39:02,8dIq5uIXa9OJQYFRqKvXVA,5.0,5.0,"",Nick,1
FFMLPCV_SrsCaP-nb0wszQ,G24p1oGGfY3t-m8Z2lPCaQ,Tinuno,4.0,530,1,2018-09-01 21:36:04,tIrLNjUf8_k-cDKmvvVXXg,5.0,4.13,"",R,16
FZ2UOL_tGgX6svSbwwHz9w,Nnb9kHGq_5pJSjGundeY0Q,Green Republic Food,4.0,18,0,2017-07-06 02:09:44,IlwiEmgRdqOFA1a5CoIilQ,5.0,3.67,"",Sadaf,3
F_5dpdRq7SqbzeMvcIpkWw,GuLibC35vVqrgXsuZP3-ZQ,Baju BBQ,2.5,8,0,2015-05-29 14:42:43,ul1RBzXaLEbI_3JEUiMkKw,1.0,2.33,"",Courtney,3
FdzbGANRdTQu2FqXV3KwaA,1xB0Qf2-TN6CQ5c4Fh7vqg,Taiyaki NYC - Toronto,4.0,250,1,2018-10-18 18:57:10,lXO3By3frJPp436BCuZKmA,5.0,5.0,"",Catherine,1
Fe-nKlqk4oTWKNQV7kF84g,FgHjnpJkCMj62b9P6n7Iig,Ace's Place Bar Grill Hub,3.5,29,1,2015-09-12 22:23:42,d7U_pvC-WKicwqgSo_aYvA,3.0,3.67,"",Liliana,6
Fe-nKlqk4oTWKNQV7kF84g,sJHf_8i4iky2yU4-PS1ksQ,King's Tacos,4.0,62,0,2013-01-31 02:51:38,w4ybgcil5a4y8yYXu2vubA,2.0,3.67,"",Liliana,6
Fe-nKlqk4oTWKNQV7kF84g,E_mRnwhHLuz6tgMBScw1mw,Phoenix,4.0,36,1,2016-02-29 18:53:25,CmVe7oeKyWcKeqsZlMKWpA,5.0,3.67,"",Liliana,6
Fe-nKlqk4oTWKNQV7kF84g,WoqO6D7Yh7Tbowkpb3pz5Q,Omi Sushi,2.5,21,0,2015-01-18 19:40:50,mA553SjLHTInPueLNp_HGw,4.0,3.67,"",Liliana,6
Fg693ThTLkOjRi4BiGVo1g,ae1UMj40ITqSYa5MQM8zTA,93 Harbord,3.0,18,0,2014-07-23 02:18:20,O1CRWs22nQA8t1bOaL5ffw,1.0,1.0,"",John,3
Fg693ThTLkOjRi4BiGVo1g,pdE-moDQznZL4sUX-jGKdA,Farmhouse Tavern,3.5,243,1,2015-07-04 04:24:43,35J3oRVTp36ci3dRnilkDQ,1.0,1.0,"",John,3
FiGxz_BwnlO5MT1IFQSt_Q,6cz8xLR64Iuzpa4NNcFHqg,King Rustic,4.0,52,1,2014-01-23 15:54:17,TU7XmAm5ND0j-Xh0LnBalw,4.0,4.0,"",Abi,1
FkG8O5McptW7lCDqCj-GaQ,Nxg73OigmRQQq0d1pKtkUQ,Xe Lua Restaurant,3.0,177,1,2016-09-28 07:11:51,oDKwGab4UiMJuRlVa-5pOA,4.0,2.73,"",Edwin,36
FkG8O5McptW7lCDqCj-GaQ,zvtkeghW0Px5HY9QkJ4INw,Curry Kitchen,3.5,36,0,2016-09-16 05:52:55,H3VslXXqm146jb2HJjOSIw,4.0,2.73,"",Edwin,36
FkG8O5McptW7lCDqCj-GaQ,8idRgzKzCZ2l2_d7nUSQDQ,Brass Taps Pizza Pub,3.0,33,1,2018-07-18 03:49:07,7jd6vbTSO-k5mWUS8jehwA,3.0,2.73,"",Edwin,36
FkG8O5McptW7lCDqCj-GaQ,Gbj5eesDWGgjqhjDX-Rjjg,KFC,1.5,8,1,2016-09-16 05:56:32,KZdpjqvgyqbeZzL30BkVAQ,3.0,2.73,"",Edwin,36
FkG8O5McptW7lCDqCj-GaQ,GLKVAHzymmr3rjDp7vE1WQ,Swiss Chalet Rotisserie & Grill,2.5,18,1,2016-08-24 01:59:27,Kdt57QZP2lXmMqO7EgHwfg,3.0,2.73,"",Edwin,36
FkG8O5McptW7lCDqCj-GaQ,Ijh1AcbH-F3CyhYT_5qL8Q,Indian Grill,4.0,78,1,2019-08-16 20:41:06,1c20wuALY7WTf8J9RzuReA,4.0,2.73,"",Edwin,36
FkG8O5McptW7lCDqCj-GaQ,G6EkDTXZ6zMUovg7JTG4YQ,Vietnam Noodle Star,3.5,201,1,2018-07-18 03:42:06,BM0n_TsYHwZJIsHsZVh5pw,4.0,2.73,"",Edwin,36
FkG8O5McptW7lCDqCj-GaQ,4RggTW3skfGuUt0MOY_zHw,Ginger,3.0,206,1,2016-08-24 01:50:16,JIYMCn2ZJMs_hPOCeFYwnw,3.0,2.73,"",Edwin,36
FkG8O5McptW7lCDqCj-GaQ,ABRgXNwdOX_JyqChNr8IYw,Swatow Restaurant,4.0,382,1,2016-09-18 00:20:22,0WeGtKhqnuTUMzJHxNZNMw,3.0,2.73,"",Edwin,36
FkG8O5McptW7lCDqCj-GaQ,NdvUzwz3jAM7Hao_UPMu6g,Popeyes Louisiana Kitchen,2.5,15,1,2016-08-24 01:44:33,2ZGf4m7YQMdjUTjwPbORbQ,4.0,2.73,"",Edwin,36
FkG8O5McptW7lCDqCj-GaQ,mzREMIknfmagJugibXrCsQ,Pho Tien Thanh,4.0,392,1,2018-07-18 03:44:34,vYhfJjOPPgzT1yJEt0rkRg,1.0,2.73,"",Edwin,36
FkG8O5McptW7lCDqCj-GaQ,UMc0iSJMk5g2Py9AFBJdKQ,Swiss Chalet Rotisserie & Grill,3.0,45,1,2016-08-24 01:57:54,gdYU_g5fzbkw5Srbmg7DNw,3.0,2.73,"",Edwin,36
FkG8O5McptW7lCDqCj-GaQ,flEnFkUtW5YVowWbenXsSg,Sizzler Kabab,3.5,41,1,2016-08-24 02:16:49,JK0sAtgyK3GJ8YIHtUiHBA,4.0,2.73,"",Edwin,36
FkG8O5McptW7lCDqCj-GaQ,Dv0OHpQSL4hOGl2KAEVvlA,Jack Astor's Bar & Grill,3.0,247,1,2016-08-28 00:58:56,RngOhAiBbDyXcjwSjBs_0A,4.0,2.73,"",Edwin,36
FkG8O5McptW7lCDqCj-GaQ,uNjoyF_qlLqOSEEYVpTkLg,Noble Seafood,3.5,68,0,2017-03-20 04:58:58,kDGJ0CHPEAdUzao9oKeksw,1.0,2.73,"",Edwin,36
FkG8O5McptW7lCDqCj-GaQ,NKYirjjTpzezUi4Rhj64bA,Pho 88 North York,3.0,122,1,2016-08-24 01:53:49,lbmldK8TP2Bzy_cvaRx0aQ,4.0,2.73,"",Edwin,36
FkG8O5McptW7lCDqCj-GaQ,xsl-d_opm3AU5H2Z-im33g,College Falafel,4.0,86,1,2018-07-18 03:47:40,up1-le8badGiDMUoZZ4pXw,5.0,2.73,"",Edwin,36
FkG8O5McptW7lCDqCj-GaQ,5gQhXemXe_dJX3eMRpyfNQ,Pho Hoa Restaurant,2.5,17,0,2016-08-24 01:55:12,0vFIIMrQygftoCxrUy66NQ,1.0,2.73,"",Edwin,36
FkG8O5McptW7lCDqCj-GaQ,X74dy7wrgY9R98kfdsKDJQ,The Rooster Rotisserie and Grill,3.5,65,1,2018-07-18 03:50:25,vaHXNmgBhw0n-4jSs035cg,2.0,2.73,"",Edwin,36
FkG8O5McptW7lCDqCj-GaQ,JFxSgJXC7siDE4ThlEEzMA,Ginger,2.5,54,1,2016-08-24 01:46:36,TFAGPEIz5mAspsNBMp6BZQ,2.0,2.73,"",Edwin,36
G13xfNyKTFM-fI3I6LlQWQ,n_-CwlqV8fzEIUPky8Ibtw,The Oxley,4.0,136,1,2016-10-14 01:04:23,-_eg5F0PbYhDSyEiRp4_cA,4.0,4.0,"",Gagan,2
GGdNfPV9JrsCIGMvv9Jtnw,Ycp3Agr7dt71TZkeKV7jng,Le Gourmand,4.0,250,1,2014-04-04 19:04:31,sKVXwx9k2mXbTAQ-ZHaEfg,5.0,4.18,"",Samantha,11
GGdNfPV9JrsCIGMvv9Jtnw,fzQeUR_AvjpwIWjsMDAbGw,Fat Bastard Burrito,3.0,63,1,2012-07-09 08:15:39,tVYSlFi5CyneF8x1ehSeXw,5.0,4.18,"",Samantha,11
GGdNfPV9JrsCIGMvv9Jtnw,joMyW9KcBEsHJxQuAMulaQ,Roll Play,3.5,123,0,2014-04-04 19:06:41,0IdyX4rvCAmi7INbZ4li8w,3.0,4.18,"",Samantha,11
GGdNfPV9JrsCIGMvv9Jtnw,O_UC_izJXcAmkm6HlEyGSA,Playa Cabana,4.0,431,1,2014-07-03 19:25:02,apfvIc1VaD7PvijDLnkhZA,3.0,4.18,"",Samantha,11
GJd2FN8k5ofish30xH0OTA,nRZjrWIzqKc26KjpBG0fHg,Cafe Princess,3.5,171,1,2011-10-24 03:20:00,ehG5HTz88yEaV8-dFiwxQw,3.0,4.25,"",Grace,4
GJd2FN8k5ofish30xH0OTA,ILpHHOfCvUa8MnaqELX-YA,Forte Bistro & Lounge,3.5,10,0,2011-10-24 03:17:25,Yjb1dK2XtFBFxD-obQo5-w,4.0,4.25,"",Grace,4
GSFbpVy8MQ0ncy6BIH5AZQ,4xSralBJINSqnZaarAUYrw,La Prep,3.0,9,0,2015-05-01 14:16:14,jkfxUdSOegCLKdWNC-Wa9Q,4.0,4.2,"",Marc,3
G_NoWIwKkUgGm-MPU_Vb3Q,oJSa5HCiZXKLXxggQmecEQ,Campagnolo,4.0,216,0,2012-03-24 05:09:18,eD1OpNwI5ZAwJ75lLkj5Fw,2.0,2.24,"",Mark,15
G_NoWIwKkUgGm-MPU_Vb3Q,SW6ZQk22G1_CV81_gfnvNQ,La Carnita,3.5,491,1,2014-07-23 16:00:31,G8yO_xDdKLUaWVxgDJ8nag,4.0,2.24,"",Mark,15
G_NoWIwKkUgGm-MPU_Vb3Q,am4hFy_A4FYe4QzDqk--2g,Havana Style,4.0,20,0,2013-04-26 00:38:27,Bw0uCPxTYs-9uutuVbSRGw,1.0,2.24,"",Mark,15
G_NoWIwKkUgGm-MPU_Vb3Q,tUiJdFccD4DaEZOZS-IhmQ,Valdez,3.5,174,0,2014-07-23 15:56:20,8KVf8RlEqT1y31D85rpm5A,1.0,2.24,"",Mark,15
G_NoWIwKkUgGm-MPU_Vb3Q,V01onLi7ezGFSeoaosfw1g,V's Schnitzel House,3.5,18,1,2018-11-05 19:51:42,T9PEMa4pRV__YF_ZoV5LPg,4.0,2.24,"",Mark,15
GuIQJE9LYkpS4RK8irs4LQ,PjtX-5vSTBVyWfMREX8bRA,Capitano Burgers & Gelato,4.0,79,0,2013-07-23 01:47:16,5xABHbU8SEGC8cvmGgPkOQ,5.0,3.4,"",Sid,10
GuIQJE9LYkpS4RK8irs4LQ,UYop9KYT-_mJsc2bcH83jw,The Pickle Barrel,2.5,275,1,2013-07-23 01:00:58,Boct8BGA39aNA0gg9QyM7A,2.0,3.4,"",Sid,10
GuIQJE9LYkpS4RK8irs4LQ,U_jPOTd-Z5KATbTYnDeNxg,Burrito Bandidos,4.0,116,1,2013-07-23 01:53:38,li9YOi-A8SuKOP3HsyFSmA,4.0,3.4,"",Sid,10
GuIQJE9LYkpS4RK8irs4LQ,vqQ5gLyueXC7ZJ_X3y0C6w,Ritz Caribbean Foods,3.0,58,1,2013-07-23 02:23:08,N6OzmQeXK2PzgoD1W9Fj2g,4.0,3.4,"",Sid,10
GuIQJE9LYkpS4RK8irs4LQ,zg5rJfgT4jhzg1d6r2twnA,Big Smoke Burger,3.5,159,0,2013-07-23 03:09:55,pBIZ56oyQokR3yi8v7Ge7A,2.0,3.4,"",Sid,10
GuIQJE9LYkpS4RK8irs4LQ,15SZ_CzigAyVUbsijFFQJg,Sushi Box,3.5,38,1,2013-07-23 02:45:40,R8-794MTIWZ-_SJvW6VmwA,4.0,3.4,"",Sid,10
GuIQJE9LYkpS4RK8irs4LQ,_U4M_X9y3Jg2092XjuzSkw,Ali Baba's Middle Eastern Cuisine,3.0,21,0,2013-07-23 00:57:43,-eE2GzCMNsJNZI3wESJ_kw,4.0,3.4,"",Sid,10
GuIQJE9LYkpS4RK8irs4LQ,VxrvGKfba7rBDNLjc-Wy3A,Ethiopian House Restaurant,3.5,168,1,2013-07-23 03:44:30,NS-vTj3Xa10j-sk4SYvUbQ,3.0,3.4,"",Sid,10
GuIQJE9LYkpS4RK8irs4LQ,xVHzCbDWCwmyavF5PgJRmg,Not Just Noodles,3.5,151,1,2013-07-23 01:10:28,pUdfph2hSlHEUB_ETTxU5g,4.0,3.4,"",Sid,10
GuIQJE9LYkpS4RK8irs4LQ,J-WPscvQo_9I3GVWVDjIeA,Shishawarma,2.5,14,0,2013-07-23 02:05:50,VCt9il-e_IddTBsrYikpMg,2.0,3.4,"",Sid,10
H09uZr73cGWTOGsmr92O8Q,q5xrVJ4kivx_yEfJeOKNYQ,Bar Isabel,4.0,412,1,2018-04-08 23:30:46,wJJXrdGXaSl7DFpHR1tXvA,5.0,4.36,"",C,21
H09uZr73cGWTOGsmr92O8Q,zgQHtqX0gqMw1nlBZl2VnQ,Momofuku Noodle Bar,3.0,1010,1,2018-04-08 23:56:13,t9LJT0MNr9UXjkSwsIuhkw,4.0,4.36,"",C,21
H4ECp8d_jYLGHsPCgD5ltw,Tpx8tScjNW6noaEgZ1hXFg,Shawarma Boss,3.5,60,1,2016-03-18 23:40:59,Dlx7M_kl9bx4WvIRHn4Png,5.0,3.94,"",Jenn,80
H4ECp8d_jYLGHsPCgD5ltw,YWd0I1BxSzFG61lSyC3IyQ,Disgraceland,3.0,120,1,2016-03-21 23:27:27,4iPpOwAOhAAel3b_LJR0JA,2.0,3.94,"",Jenn,80
H4ECp8d_jYLGHsPCgD5ltw,rMx2hTKVLrabu_iaI8L5vA,Home,4.0,53,1,2016-09-25 20:44:56,lEegc1jPyNO2hzq7-IsKYg,5.0,3.94,"",Jenn,80
H4ECp8d_jYLGHsPCgD5ltw,Da6eZFThE9xanUAGNpZxAg,Nuit Social,4.5,201,1,2017-07-18 01:58:00,6-QCAiY9Z32HTNOKsNm2lw,5.0,3.94,"",Jenn,80
H4ECp8d_jYLGHsPCgD5ltw,-chGaXHZsoLKLHPJMMsdmw,Utopia Café & Grill,3.5,246,1,2013-02-23 22:32:00,gaa_e5Mp3r3TJghdQjFwEQ,3.0,3.94,"",Jenn,80
H4ECp8d_jYLGHsPCgD5ltw,VhQXJteVrG3L-wq8HlYFqw,The Ace,4.0,181,1,2015-02-27 23:04:30,6rIvcEwj5IXBI2U6lzDXEg,5.0,3.94,"",Jenn,80
H4ECp8d_jYLGHsPCgD5ltw,ww_MXl-qDLeYdYTZZ9KWbA,Pho Linh,4.0,214,1,2017-07-18 02:01:51,N65FlpsfPxj9gX9MikrWTQ,3.0,3.94,"",Jenn,80
H4ECp8d_jYLGHsPCgD5ltw,a-Mo7Ipu_c5y21mmg0-F7g,Agio,4.5,168,1,2017-07-18 01:33:50,ED3UxhUHq9H-BU92sfav6w,5.0,3.94,"",Jenn,80
H4ECp8d_jYLGHsPCgD5ltw,27_N5P9HZ86IviONPT_twg,Woodlot Restaurant,4.0,263,1,2015-02-28 19:51:28,M6aAHz-Vrnvbkkr6G1gYKw,2.0,3.94,"",Jenn,80
H4ECp8d_jYLGHsPCgD5ltw,TBzgzTFSa7pJXiLD7emYaQ,Lotus Garden Hakka Indian Style Chinese,4.0,94,1,2016-03-21 23:33:45,H9ONnflJk2kLX3fi0ld2AA,5.0,3.94,"",Jenn,80
H4ECp8d_jYLGHsPCgD5ltw,WdB_1TDZanjfBcT2Xj5Ljg,Boo Radley's Junction Bar and Grill,3.5,46,1,2016-11-07 23:05:59,D7BS_-JikGhXbv3_jogHKw,4.0,3.94,"",Jenn,80
H4ECp8d_jYLGHsPCgD5ltw,kd1NhNWvWo5AhBUSaGeSiw,FUEL+,4.5,94,1,2015-02-27 23:18:14,Iua-5POn5PL1RuWNCw5wYw,4.0,3.94,"",Jenn,80
H4ECp8d_jYLGHsPCgD5ltw,dGuRCJV66l-K7flfrwEgaA,Mattachioni,4.0,36,1,2017-07-18 01:42:02,lVxfUycVDN1fzHdwKhC7Tw,5.0,3.94,"",Jenn,80
H4ECp8d_jYLGHsPCgD5ltw,xwPKDhVW_eHqvrbL8C34KQ,Thai Lime,3.5,86,1,2016-03-18 23:39:35,V5tIUGmLlj6rH74Y89uBpg,4.0,3.94,"",Jenn,80
H4ECp8d_jYLGHsPCgD5ltw,9rdkkaK68TpTt0TQC5w7Qw,Wallace Espresso,4.0,8,1,2016-03-21 23:23:20,O6anmMi17wEU8mXxftaMbw,4.0,3.94,"",Jenn,80
H4ECp8d_jYLGHsPCgD5ltw,pdE-moDQznZL4sUX-jGKdA,Farmhouse Tavern,3.5,243,1,2016-09-25 20:53:41,-PTuDui68Y3p4QOqb053nA,2.0,3.94,"",Jenn,80
H4ECp8d_jYLGHsPCgD5ltw,z4_Aut97zxHEen9LXYJ9Ig,Angolino,4.5,15,0,2017-07-18 01:31:17,MYfolJ3WW6zoS3wtgEs2PA,2.0,3.94,"",Jenn,80
H4ECp8d_jYLGHsPCgD5ltw,TgcjQfl1E9DE-SjDVOUDJQ,Rose and Sons,3.5,210,0,2015-02-27 23:39:31,s8U1mRGtwUbOzi_5e93Kww,3.0,3.94,"",Jenn,80
